sampleid,sample_type,study,transit,swab_type,filter_type,location,boat,time,collection_order
c23t4rear,boat,ChesapeakeBay,four,rear,nonfilter,Norfolk,Lookdown,NA,transit4_4
c24t1bf,boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,NA,transit1_24
c24t1bw,boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,NA,transit1_24
c24t1hull,boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,NA,transit1_24
c24t1post,openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,NA,transit1_24
c24t1pre,openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,NA,transit1_24
c24t1rear,boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,NA,transit1_24
c24t3bf,boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,NA,transit3_24
c24t3bw,boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,NA,transit3_24
c24t3hull,boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,NA,transit3_24
c24t3post,openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,NA,transit3_24
c24t3pre,openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,NA,transit3_24
c24t3rear,boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,NA,transit3_24
c25t1bf,boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,NA,transit1_25
c25t1hull,boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,NA,transit1_25
c25t1post,openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,NA,transit1_25
c25t1pre,openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,NA,transit1_25
c25t1rear,boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,NA,transit1_25
c25t2bf,boat,ChesapeakeBay,two,bilgebiofilm,nonfilter,Norfolk,Callinectes,NA,transit2_3
c25t2bw,boat,ChesapeakeBay,two,bilgewater,nonfilter,Norfolk,Callinectes,NA,transit2_3
c25t2hull,boat,ChesapeakeBay,two,hull,nonfilter,Norfolk,Callinectes,NA,transit2_3
c25t2post,openwater,ChesapeakeBay,two,nonswab,post,Norfolk,Callinectes,NA,transit2_3
c25t2pre,openwater,ChesapeakeBay,two,nonswab,pre,Norfolk,Callinectes,NA,transit2_3
c25t2rear,boat,ChesapeakeBay,two,rear,nonfilter,Norfolk,Callinectes,NA,transit2_3
c25t3bf,boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,NA,transit3_25
c25t3bw,boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,NA,transit3_25
c25t3hull,boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,NA,transit3_25
c25t3post,openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,NA,transit3_25
c25t3pre,openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,NA,transit3_25
c25t3rear,boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,NA,transit3_25
c25t4bf,boat,ChesapeakeBay,four,bilgebiofilm,nonfilter,Norfolk,Lookdown,NA,transit4_3
c25t4bw,boat,ChesapeakeBay,four,bilgewater,nonfilter,Norfolk,Lookdown,NA,transit4_3
c25t4hull,boat,ChesapeakeBay,four,hull,nonfilter,Norfolk,Lookdown,NA,transit4_3
